博碩文化公司銷售清單						
銷售日期	銷售員	產品	買方	單價	銷售量	小計
2002年10月27日	林毓恆	EXCEL 2002	高雄威碩電腦軟體事業部	20	46	920
2002年10月30日	林毓修	WORD 2002	新竹登門數位	18	33	594
2002年11月1日	林毓倫	EXCEL 2002	新竹威碩電腦軟體事業部	20	109	2180
2002年11月2日	林毓倫	WORD 2002	台中天充文化	18	54	972
2002年11月4日	林向宏	WINDOW2002	台南登門數位	8	39	312
2002年11月5日	林向宏	PROJECT 2002	高雄壹漫網	25	76	1900
2002年11月8日	林毓恆	PROJECT 2002	新竹威碩電腦軟體事業部	25	115	2875
2002年11月11日	林毓修	EXCEL 2002	台北天充文化	20	117	2340
2002年11月13日	林毓倫	PROJECT 2002	台南壹漫網	25	106	2650
2002年11月16日	林向宏	WORD 2002	台中威碩電腦軟體事業部	18	111	1998
2002年11月19日	林毓恆	WORD 2002	台南登門數位	18	31	558
2002年11月21日	林毓修	EXCEL 2002	新竹登門數位	20	50	1000
2002年11月21日	林毓倫	EXCEL 2002	高雄天充文化	20	86	1720
2002年11月24日	林向宏	WINDOW2002	台北壹漫網	20	65	1300
2002年11月27日	林毓恆	WORD 2002	高雄威碩電腦軟體事業部	18	35	630
2002年11月29日	林毓倫	WORD 2002	新竹天充文化	18	79	1422
2002年11月30日	林毓恆	WINDOW2002	新竹壹漫網	8	75	600
2002年12月2日	林毓修	WINDOW2002	台中壹漫網	8	121	968
2002年12月4日	林毓恆	EXCEL 2002	台南威碩電腦軟體事業部	20	55	1100
2002年12月6日	林毓倫	WORD 2002	高雄登門數位	18	99	1782
2002年12月9日	林毓恆	WORD 2002	新竹天充文化	18	100	1800
2002年12月11日	林毓修	WINDOW2002	台北登門數位	8	74	592
2002年12月13日	林毓倫	PROJECT 2002	台南壹漫網	25	42	1050
2002年12月15日	林毓恆	PROJECT 2002	台中威碩電腦軟體事業部	25	55	1375
2002年12月17日	林毓恆	EXCEL 2002	台南天充文化	20	126	2520
2002年12月19日	林毓倫	WORD 2002	新竹威碩電腦軟體事業部	18	111	1998
2002年12月19日	林毓修	PROJECT 2002	高雄壹漫網	25	83	2075
2002年12月22日	林毓倫	WORD 2002	台北登門數位	18	64	1152
2002年12月22日	林毓修	EXCEL 2002	高雄天充文化	20	79	1580
2002年12月23日	林毓修	EXCEL 2002	新竹登門數位	20	77	1540
2002年12月23日	林毓恆	EXCEL 2002	台中壹漫網	20	102	2040
2002年12月26日	林向宏	WORD 2002	台南威碩電腦軟體事業部	18	128	2304
2002年12月29日	林毓倫	WORD 2002	高雄天充文化	18	130	2340
