銷售日期	銷售員	產品	買方	區域	單價	銷售量	小計
2006/10/27	陳玉玲	EXCEL 2005	華藏學會	高雄	20	46	920
2006/10/30	王秀惠	WORD 2005	景文技術學院	新竹	18	33	594
2006/11/1	林宏諭	EXCEL 2005	華藏學會	新竹	20	109	2180
2006/11/2	林宏諭	WORD 2005	中華職棒聯盟	台中	18	54	972
2006/11/4	林建宏	WINDOW2005	景文技術學院	台南	8	39	312
2006/11/5	林建宏	PROJECT 2005	淡江大學管科所	高雄	25	76	1900
2006/11/8	陳玉玲	PROJECT 2005	華藏學會	新竹	25	115	220035
2006/11/11	王秀惠	EXCEL 2005	中華職棒聯盟	台北	20	117	2340
2006/11/13	林宏諭	PROJECT 2005	淡江大學管科所	台南	25	106	2650
2006/11/16	林建宏	WORD 2005	華藏學會	台中	18	111	1998
2006/11/19	陳玉玲	WORD 2005	景文技術學院	台南	18	31	558
2006/11/21	王秀惠	EXCEL 2005	景文技術學院	新竹	20	50	1000
2006/11/21	林宏諭	EXCEL 2005	中華職棒聯盟	高雄	20	86	1720
2006/11/24	林建宏	WINDOW2005	淡江大學管科所	台北	20	65	1300
2006/11/27	陳玉玲	WORD 2005	華藏學會	高雄	18	35	630
2006/11/29	林宏諭	WORD 2005	中華職棒聯盟	新竹	18	96	1728
2006/11/30	陳玉玲	WINDOW2005	淡江大學管科所	新竹	8	75	600
2006/12/2	王秀惠	WINDOW2005	淡江大學管科所	台中	8	121	968
2006/12/4	陳玉玲	EXCEL 2005	華藏學會	台南	20	55	1100
2006/12/6	林宏諭	WORD 2005	景文技術學院	高雄	18	99	1782
2006/12/9	陳玉玲	WORD 2005	中華職棒聯盟	新竹	18	100	1800
2006/12/11	王秀惠	WINDOW2005	景文技術學院	台北	8	74	592
