博志科技公司銷售清單						
銷售日期	銷售員	產品	買方	單價	銷售量	小計
2004年10月27日	林毓恆	EXCEL 2004	高雄威碩國際貿易	20	46	920
2004年10月30日	林毓修	WORD 2004	新竹博志科技	18	33	594
2004年11月1日	林毓倫	EXCEL 2004	新竹威碩國際貿易	20	109	2180
2004年11月2日	林毓倫	WORD 2004	台中博漫文化	18	54	972
2004年11月4日	林毓書	WINDOW2004	台南博志科技	8	39	312
2004年11月5日	林毓書	PROJECT 2004	高雄博碩文化	25	76	1900
2004年11月8日	林毓恆	PROJECT 2004	新竹威碩國際貿易	25	115	2875
2004年11月11日	林毓修	EXCEL 2004	台北博漫文化	20	117	2340
2004年11月13日	林毓倫	PROJECT 2004	台南博碩文化	25	106	2650
2004年11月16日	林毓書	WORD 2004	台中威碩國際貿易	18	111	1998
2004年11月19日	林毓恆	WORD 2004	台南博志科技	18	31	558
2004年11月21日	林毓修	EXCEL 2004	新竹博志科技	20	50	1000
2004年11月21日	林毓倫	EXCEL 2004	高雄博漫文化	20	86	1720
2004年11月24日	林毓書	WINDOW2004	台北博碩文化	20	65	1300
2004年11月27日	林毓恆	WORD 2004	高雄威碩國際貿易	18	35	630
2004年11月29日	林毓倫	WORD 2004	新竹博漫文化	18	79	1422
2004年11月30日	林毓恆	WINDOW2004	新竹博碩文化	8	75	600
2004年12月2日	林毓修	WINDOW2004	台中博碩文化	8	121	968
2004年12月4日	林毓恆	EXCEL 2004	台南威碩國際貿易	20	55	1100
2004年12月6日	林毓倫	WORD 2004	高雄博志科技	18	99	1782
2004年12月9日	林毓恆	WORD 2004	新竹博漫文化	18	100	1800
2004年12月11日	林毓修	WINDOW2004	台北博志科技	8	74	592
2004年12月13日	林毓倫	PROJECT 2004	台南博碩文化	25	42	1050
2004年12月15日	林毓恆	PROJECT 2004	台中威碩國際貿易	25	55	1375
2004年12月17日	林毓恆	EXCEL 2004	台南博漫文化	20	126	2520
2004年12月19日	林毓倫	WORD 2004	新竹威碩國際貿易	18	111	1998
2004年12月19日	林毓修	PROJECT 2004	高雄博碩文化	25	83	2075
2004年12月22日	林毓倫	WORD 2004	台北博志科技	18	64	1152
2004年12月22日	林毓修	EXCEL 2004	高雄博漫文化	20	79	1580
2004年12月23日	林毓修	EXCEL 2004	新竹博志科技	20	77	1540
2004年12月23日	林毓恆	EXCEL 2004	台中博碩文化	20	102	2040
2004年12月26日	林毓書	WORD 2004	台南威碩國際貿易	18	128	2304
2004年12月29日	林毓倫	WORD 2004	高雄博漫文化	18	130	2340
